ID_Cliente,Nombre_Empresa,País,Contacto,Correo,Sector,Volumen_Interesado_kg
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,Walsh LLC,Paraguay,John Kelly,kristinacarlson@garrison-thomas.com,Retail,1628
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,Figueroa PLC,Suriname,Douglas Carlson,lauren10@smith.org,eCommerce,3302
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,"Patterson, Smith and Jones",Colombia,Kristi Black,alfred40@harmon.com,eCommerce,3656
9132b63e-f162-47e4-a9c3-49e03602f8ac,"Mckee, Gardner and Davenport",Argentina,David Russell,alvarezkimberly@wheeler.org,eCommerce,3990
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,"Tran, Jordan and Williams",Brazil,Cynthia Alvarez,acostaregina@boyd.com,Mayorista,746
e27a984d-6548-41d0-bfcd-9eb1a7cad415,Nolan-Flynn,Venezuela,Joan Smith,bboone@rodriguez.com,Retail,2988
24933b83-7577-40a9-a491-f0b2ea1fca65,Nolan and Sons,Guyana,Jared Sanchez,charlene12@weber-richards.com,Retail,2535
beb79919-3f22-4af8-a3be-d01d43cf2fde,"Wright, Garcia and Deleon",Ecuador,Jackie Tran,hvang@chavez-jacobs.com,Mayorista,700
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Dickson-Brady,Colombia,Zachary Pierce,farrelldebra@le.com,Mayorista,2463
956269f0-e5d7-4875-adad-d6c795a76d79,Hancock and Sons,Brazil,Jesse Parker,dmorgan@perry-davis.biz,Retail,2161
ff50bde4-3825-47b8-9cab-cc97663f1c97,Johnson-Doyle,Chile,Nathan Stewart,elizabeth52@leblanc.com,Mayorista,341
7e570ddf-8270-40a8-a369-b584ff5e9ff0,Patton-Jenkins,Ecuador,Tiffany Vaughn,vdavis@cain-hawkins.org,eCommerce,2141
dc713d96-0c0f-4195-817a-f08a1745d6d8,"Shields, Cochran and Adams",Bolivia,Parker Hill,elizabeth65@pugh.com,Distribuidor,2924
28f49481-a0a0-4dc4-a720-9bdf1c11f735,"Rodriguez, Brennan and Garrison",Bolivia,Paige Carlson,caroline51@romero.com,eCommerce,2712
98ae4334-6c12-4ce8-ae34-0454cac5b68c,Gonzalez Group,Guyana,Dr. Elizabeth Ward,megan51@andrews-aguirre.net,Retail,1463
988c24c9-61b1-4d22-a280-1c4510435a10,Torres-Pope,Bolivia,Michael Martinez,lynchdiane@adams.com,Mayorista,1578
405cacec-8774-49a9-b7d2-1e02ff01cf99,Walker Ltd,Ecuador,Anthony Carter,michael22@sandoval.com,Distribuidor,2656
f143262f-dc5c-4eed-8da0-365bf89897b9,Ross LLC,Ecuador,Margaret Mullins,reesejason@chavez-moore.com,Retail,875
1d53434b-b881-49b9-ae27-0da702f06b90,Rasmussen LLC,Suriname,Adam Mitchell,kimberly99@ware.com,Mayorista,4114
c0398710-8976-4334-a281-7efdae849217,May-Ross,Colombia,Glen Sheppard,craigjoseph@coleman.com,Distribuidor,134
5715bd6f-a416-4293-84c2-e2e3444ea7c8,"Rivera, Johnson and Wiley",Argentina,Scott Wilson,reeddaniel@gregory.com,Distribuidor,3252
287d06ca-6f4c-469a-8b22-d3081c8eaee9,White-Estes,Venezuela,John Ray,randallgreene@harris.com,Mayorista,2055
b8db0672-f42d-47cc-80d4-af5974273ca3,Johnson-Carlson,Paraguay,Brittany Shepherd,keith10@burgess-thompson.biz,Distribuidor,1685
f8cda88b-436d-46e2-b83c-fe0be037e5ed,Chandler-Edwards,Peru,Angela Wright,vincentwhitaker@jones-hensley.com,Retail,4043
81f76d1c-2dbc-4134-830f-f46e8026695f,"Joyce, Wilson and Lam",Bolivia,Jennifer Carlson,esmith@johnston-berry.biz,Mayorista,3173
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,Scott Ltd,Guyana,Patricia James,darius05@solis.info,eCommerce,1121
81f631d4-a392-41a7-9777-a4774c66e0a8,Smith-Frost,Bolivia,Elizabeth Chapman,christopher13@chapman-warren.biz,Retail,3561
5fb8d16c-2720-497d-b2eb-d6899be578c7,"Mcdaniel, Bentley and Mclaughlin",Peru,Keith Brown,julie35@jones.com,Retail,2713
f4188f3f-8a14-4e62-a95b-4715c333e861,Diaz Inc,Colombia,Annette Farmer,rebeccabailey@mullen.com,Mayorista,3943
eb2263dd-87c5-421e-ac24-a3c5c754108f,"Mccall, Hanson and Alvarado",Uruguay,Deborah Miller,jonathanthompson@wolf.com,Mayorista,1600
7d154385-52fb-443b-9954-6eb400257ad1,Cortez LLC,Suriname,Juan Moore,stephanieburton@webster-wolf.info,Distribuidor,4898
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,"Parker, Ortiz and Powell",Ecuador,Michael Harrison,michelle52@jones-ramos.com,Retail,261
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,Spencer-Lee,Suriname,Dwayne Campbell,brittany58@collins.com,Distribuidor,4397
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,"Bentley, Byrd and Orr",Chile,Andrea Hall,woodjustin@lin.net,Retail,2081
14296c07-f26b-4776-913e-4de2e0c53cb8,"Carroll, Sullivan and Bass",Venezuela,Rick Lawrence,jford@huang.com,Retail,1095
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,Mitchell-Jordan,Bolivia,Christina Wilson,cassidy82@hayes.com,eCommerce,3442
885f6e66-c2b6-42c5-ba5d-310011b7e948,"Lawson, Morris and Ramos",Argentina,Chase Baker,benjaminzimmerman@warren-bishop.com,Retail,4651
a8e56e0c-20de-435d-a031-d750c40db9b4,"Lewis, Kennedy and Santana",Uruguay,Anthony Sparks,samantha66@shelton-williams.com,Distribuidor,3898
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,"Jackson, Miller and Robertson",Chile,Samantha Morse,riveraangela@mitchell-cummings.org,Distribuidor,1375
9b49bd26-df57-459a-8715-a10343dac043,"Harvey, Davis and Crane",Colombia,John Torres,mathewaguilar@rangel.biz,eCommerce,1116
edcd465e-3638-4821-b6e0-7cc06c52c49f,Chambers and Sons,Bolivia,Dillon Fernandez,brookehurley@hansen-schneider.com,Distribuidor,437
b09b2a5c-badc-432a-8159-0f538a0f4efb,Hernandez Inc,Chile,Kyle Preston,elizabethcalderon@osborn.biz,Mayorista,978
66245bfa-4fcc-439a-b683-d2e6337ea2df,Riggs PLC,Bolivia,Lindsey Johnson,andrew42@peterson.com,eCommerce,1176
5f987c71-a65e-488e-abf3-ad39fec21bbe,Gibson Ltd,Guyana,Michael Valencia,zoemoore@richard-garcia.net,Distribuidor,4987
7394988f-847f-49b4-a64d-1bcb702753a1,"Lee, Horton and Snyder",Colombia,Alicia Hubbard,stanleynancy@anderson.org,Distribuidor,4093
1064005c-3985-43cf-bf76-be1d1efa2197,Hernandez Ltd,Paraguay,Laura Hines,jenniferwilliams@rhodes-young.info,Mayorista,4959
8dcdcd03-969b-4662-8562-8059568cc69b,Stafford Inc,Uruguay,Joseph Ramos,karen73@allen.com,eCommerce,479
01d74256-3860-4ab6-96a4-02f23ae8cc93,Robinson-Brock,Ecuador,Zachary Graham,erika97@hammond-strickland.net,Mayorista,592
0f1259e0-a18f-46b6-b535-106e122c9a56,"Holmes, Williams and Wright",Brazil,Tracy Harrison,mburch@taylor.com,eCommerce,2162
080aadfb-e7c9-4b26-9141-25c63a9bedd4,Bryant Group,Ecuador,Frank Garcia,dawsonzachary@mitchell.com,eCommerce,3984
839fbc50-1223-4513-9496-f63cdc1110c1,"Schmidt, Hansen and Stewart",Ecuador,Jason Simpson,jwhitehead@davis-lozano.info,Retail,164
7c441fe7-ab42-40a7-874a-493b3ceddf2d,Salazar-Ball,Chile,Jennifer Hodges,sarah60@shaw-young.com,Distribuidor,2668
b92da22b-21df-406f-8a0b-3c3336d8393a,"Simmons, Meadows and Griffin",Uruguay,Brandon King,jeffrey51@santos.com,Distribuidor,2127
93829b43-922f-415a-a1e3-db63ef7ddc76,Manning Group,Colombia,Raymond Hancock,ihorton@harrison.com,Retail,2795
7914c120-c8dc-419f-be35-11287900f7f9,Green-Wright,Venezuela,April Booth,jason28@lynch.com,Mayorista,1595
1825bc54-30be-445f-a835-14f2ceb81f9d,"Ramirez, Strickland and Washington",Uruguay,Anthony Stone,david36@bauer.info,Retail,491
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Hill Inc,Uruguay,Kathleen Ramos,chenbailey@thomas.com,Distribuidor,4614
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,"Mitchell, Nelson and Flores",Bolivia,Derek Anderson,qlopez@mills.com,Distribuidor,4574
a748dbcf-ac61-4e63-8dde-29a6baa4b71a,"Miller, Hernandez and Reyes",Suriname,Stanley Washington,myerstheodore@hughes.com,Retail,3661
0f844fef-1931-49ee-a56c-0941fbf24050,Mccarthy Inc,Uruguay,Mark Lloyd,cooperjessica@garcia.com,Retail,2378
ccf3a171-56dc-4907-ba6c-34ab6712303a,Russell-Daniels,Brazil,Emily Smith,bellmatthew@thompson.info,Retail,3199
310c0c00-3fa7-4104-9bf9-0e27dc96925e,Brown-Wall,Peru,Danny Skinner,lisabrown@johnson-harris.com,Distribuidor,300
23e2fcb4-72d8-467d-894a-05e430b187ef,Stein-Silva,Venezuela,Travis Holland,stewartkyle@hays-daniels.com,Retail,4975
766ecb15-474e-4c19-aef9-12766c006f61,"Smith, Gilmore and Johnston",Chile,Timothy Carter,mullinsjames@atkins-williams.com,Retail,3204
134c6c92-ec5b-427c-9fde-4fbf3ff350bf,Smith-Bell,Brazil,Jennifer Olson,david56@paul-kline.biz,Mayorista,4698
db20a56e-dc81-4fe7-8eda-8bbb71710434,Castaneda-Ashley,Paraguay,Jesus Thomas,terri77@glass-stone.com,Retail,2554
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,Medina-Navarro,Guyana,Kyle Francis,mmiller@gardner.com,Distribuidor,3745
03c72ba8-d605-4770-8a63-f881ffd0f9d5,"Hurst, Freeman and Nelson",Colombia,Benjamin Barton,murphykenneth@morrison-simmons.info,Mayorista,904
